key;en;es
intro_greeting;"Hi, I'm";"Hola, soy"
job_title;"Full Stack Developer";"Desarrollador Full Stack"
description_hero_about;"I build responsive accessible and performant web applications using modern technologies.";"Creo aplicaciones web responsivas accesibles y de alto rendimiento utilizando tecnologías modernas."
view_my_work;"View My Work";"Ver Mi Trabajo"
about_me;"About Me";"Sobre mí"
who_i_am;"Who I Am";"Quién Soy"
about_description;"I'm a passionate Full Stack Developer with expertise in building modern web applications. With a strong foundation in both frontend and backend technologies, I create seamless, user-friendly experiences that solve real-world problems.";"Soy un apasionado Desarrollador Full Stack con experiencia en la creación de aplicaciones web modernas. Con una sólida base en tecnologías tanto de frontend como de backend, creo experiencias fluidas y fáciles de usar que resuelven problemas del mundo real."
experience_description;"I have 5+ years of experience working with React, TypeScript, Node.js, and various other technologies. I'm constantly learning and adapting to new tools and methodologies to stay at the forefront of web development.";"Tengo más de 5 años de experiencia trabajando con React, TypeScript, Node.js y varias otras tecnologías. Estoy en constante aprendizaje y adaptación a nuevas herramientas y metodologías para mantenerme a la vanguardia del desarrollo web."
title_1;"Senior Developer";"Desarrollador Senior"
company_1;"Tech Solutions Inc.";"Tech Solutions Inc."
period_1;"2020 - Present";"2020 - Presente"
title_2;"Frontend Developer";"Desarrollador Frontend"
company_2;"Digital Innovations";"Innovaciones Digitales"
period_2;"2018 - 2020";"2018 - 2020"
title_3;"Computer Science, BSc";"Ciencias de la Computación, BSc"
company_3;"University of Technology";"Universidad de Tecnología"
period_3;"2014 - 2018";"2014 - 2018"
download_resume;"Download Resume";"Descargar CV"
skills_technologies;"Skills & Technologies";"Habilidades y Tecnologías"
frontend;"Frontend";"Frontend"
frontend_description;"Building responsive user interfaces";"Creando interfaces de usuario responsivas"
backend;"Backend";"Backend"
backend_description;"Server-side application logic";"Lógica de aplicaciones del lado del servidor"
database;"Database";"Base de Datos"
database_description;"Data storage and management";"Almacenamiento y gestión de datos"
other_technologies;"Other Technologies";"Otras Tecnologías"
other_technologies_description;"Tools and frameworks I work with";"Herramientas y marcos con los que trabajo"
design;"Design";"Diseño"
design_description;"Creating beautiful user experiences";"Creando experiencias de usuario hermosas"
devops;"DevOps";"DevOps"
devops_description;"Deployment and infrastructure";"Despliegue e infraestructura"
featured_projects;"Featured Projects";"Proyectos Destacados"
live_demo;"Live Demo";"Demostración en Vivo"
code;"Code";"Código"
contact_information;"Contact Information";"Información de Contacto"
contact_message;"Feel free to reach out through any of these channels";"No dudes en ponerte en contacto a través de cualquiera de estos canales"
send_message;"Send Me a Message";"Envíame un Mensaje"
response_time;"I'll get back to you as soon as possible";"Te responderé lo antes posible"
message_sent;"Message Sent!";"¡Mensaje Enviado!"
thank_you_message;"Thank you for reaching out. I'll respond to your message soon.";"Gracias por ponerte en contacto. Responderé tu mensaje pronto."
name;"Name";"Nombre"
email;"Email";"Correo Electrónico"
subject;"Subject";"Asunto"
message;"Message";"Mensaje"
sending;"Sending...";"Enviando..."
send_message;"Send Message";"Enviar Mensaje"
get_in_touch;"Get In Touch";"Ponerse en Contacto"
home;"Home";"Inicio"
about;"About";"Acerca de"
skills;"Skills";"Habilidades"
projects;"Projects";"Proyectos"
contact;"Contact";"Contacto"

